Codigo,Producto,Marca,UN,Cant,Caja,Costo Unit,Total
RC-80F-4,CAPACITOR 80MFD X 440VAC,A.R. COMPONENTS,UN,4,1,6.23 ,24.92 
RC-70F-4,CAPACITOR 70MFD X 440VAC,A.R. COMPONENTS,UN,1,1,5.8,5.80 
RC-60F-4,CAPACITOR 60MFD X 440VAC,LIBERTY,UN,1,1,5.17,5.17 
RC-55F-4,CAPACITOR 55MFD X 450VAC,ANETO,UN,3,1,3.89,11.67 
RC-50F-4,CAPACITOR 50MFD X 450VAC,ANETO,UN,6,1,3.79,22.74 
RC-45F-4,CAPACITOR 45MFD X 450VAC,ANETO,UN,4,1,3.55,14.20 
RC-45F-4,CAPACITOR 45MFD X 450VAC,RGC,UN,1,1,3.55,3.55 
RC-40F-4,CAPACITOR 40MFD X 450VAC,ANETO,UN,3,1,3.24,9.72 
RC-40F-4,CAPACITOR 40MFD X 450VAC,RGC,UN,1,1,3.24,3.24 
RC-35F-4,CAPACITOR 35MFD X 450VAC,ANETO,UN,2,1,3.03,6.06 
RC-30F-4,CAPACITOR 30MFD X 450VAC,ANETO,UN,4,1,3,10.96 
RC-25F-4,CAPACITOR 25MFD X 440VAC,RGC,UN,2,1,2.86,5.72 
RC-25F,CAPACITOR 25MFD X 370VAC,A.R. COMPONENTS,UN,5,1,3.05,15.25 
RC-15F,CAPACITOR 15MFD X 370VAC,A.R. COMPONENTS,UN,2,1,3.34,6.68 
RC-12.5F,CAPACITOR 12.5MFD X 370VAC,RGC,UN,1,1,2.51,2.51 
RC-10F,CAPACITOR 10MFD X 370VAC,A.R. COMPONENTS,UN,3,1,2.64,7.92 
RC-7.5F,CAPACITOR 7.5MFD X 370VAC,A.R. COMPONENTS,UN,2,1,2.51,5.02 
RC-5F,CAPACITOR 5MFD X 370VAC,RGC,UN,1,1,1.75,1.75 
RC-60+5,CAPACITOR 60+5MFD X 370VAC,A.R. COMPONENTS,UN,2,1,5.76,11.52 
RC-55+5,CAPACITOR 55+5MFD X 440VAC,ROTEC,UN,2,1,5.47,10.94 
RC-55+5,CAPACITOR 55+5MFD X 370VAC,A.R. COMPONENTS,UN,2,1,5.47,10.94 
RC-50+5,CAPACITOR 50+5MFD X 370/440VAC,MAXWELL,UN,2,1,5.17,10.34 
RC-50+5,CAPACITOR 45+5MFD X 370VAC,A.R. COMPONENTS,UN,2,1,4.95,9.90 
RC-40+5,CAPACITOR 40+5MFD X 370/440VAC,ROTEC,UN,2,1,4.82,9.64 
RC-250-70M,CAPACITOR 70MFD X 250VAC,A.R. COMPONENTS,UN,2,1,5.52,11.04 
RC-250-60M,CAPACITOR 60MFD X 250VAC,ROTEC,UN,2,1,6.03,12.06 
